date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:19	30136/30136	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20May%202024%2011:43:19%20GMT	https://adminlte.io/themes/v3/pages/layout/index3.html	/home/manish//mcdc/adminlte.io/themes/v3/pages/layout/index3.html	(from https://adminlte.io/themes/v3/pages/layout/top-nav.html)
17:13:21	2216/2216	---MCZ	200	added ('OK')	application/javascript	etag:W/%22633582ea-cfb%22	https://adminlte.io/themes/v3/plugins/flot/plugins/jquery.flot.resize.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/flot/plugins/jquery.flot.resize.js	(from https://adminlte.io/themes/v3/pages/charts/flot.html)
17:13:23	12441/12441	---MCZ	200	added ('OK')	application/javascript	etag:W/%22633582ea-7d56%22	https://adminlte.io/themes/v3/plugins/flot/plugins/jquery.flot.pie.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/flot/plugins/jquery.flot.pie.js	(from https://adminlte.io/themes/v3/pages/charts/flot.html)
17:13:24	1883/1883	---MCZ	200	added ('OK')	text/css	etag:W/%226335841f-75b%22	https://adminlte.io/themes/v3/plugins/uplot/uPlot.min.css	/home/manish//mcdc/adminlte.io/themes/v3/plugins/uplot/uPlot.min.css	(from https://adminlte.io/themes/v3/pages/charts/uplot.html)
17:13:25	105703/105703	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358266-19d10%22	https://adminlte.io/themes/v3/plugins/flot/jquery.flot.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/flot/jquery.flot.js	(from https://adminlte.io/themes/v3/pages/charts/flot.html)
17:13:25	43457/43457	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335841f-a9c1%22	https://adminlte.io/themes/v3/plugins/uplot/uPlot.iife.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/uplot/uPlot.iife.min.js	(from https://adminlte.io/themes/v3/pages/charts/uplot.html)
17:13:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20May%202024%2011:43:26%20GMT	https://placehold.it/900x500/39CCCC/ffffff&text=I+Love+Bootstrap	/home/manish//mcdc/placehold.it/900x500/39CCCC/ffffff&text=I+Love+Bootstrap.77.delayed	(from https://adminlte.io/themes/v3/pages/UI/general.html)
17:13:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20May%202024%2011:43:26%20GMT	https://placehold.it/900x500/3c8dbc/ffffff&text=I+Love+Bootstrap	/home/manish//mcdc/placehold.it/900x500/3c8dbc/ffffff&text=I+Love+Bootstrap	(from https://adminlte.io/themes/v3/pages/UI/general.html)
17:13:27	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20May%202024%2011:43:27%20GMT	https://placehold.it/900x500/f39c12/ffffff&text=I+Love+Bootstrap	/home/manish//mcdc/placehold.it/900x500/f39c12/ffffff&text=I+Love+Bootstrap	(from https://adminlte.io/themes/v3/pages/UI/general.html)
17:13:29	11084/11084	---MCZ	200	added ('OK')	text/css	etag:W/%2263358313-2b4c%22	https://adminlte.io/themes/v3/plugins/ion-rangeslider/css/ion.rangeSlider.min.css	/home/manish//mcdc/adminlte.io/themes/v3/plugins/ion-rangeslider/css/ion.rangeSlider.min.css	(from https://adminlte.io/themes/v3/pages/UI/sliders.html)
17:13:30	11184/11184	---MCZ	200	added ('OK')	text/css	etag:W/%22633581a6-2bb0%22	https://adminlte.io/themes/v3/plugins/bootstrap-slider/css/bootstrap-slider.min.css	/home/manish//mcdc/adminlte.io/themes/v3/plugins/bootstrap-slider/css/bootstrap-slider.min.css	(from https://adminlte.io/themes/v3/pages/UI/sliders.html)
17:13:32	41171/41171	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358314-a0d3%22	https://adminlte.io/themes/v3/plugins/ion-rangeslider/js/ion.rangeSlider.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/ion-rangeslider/js/ion.rangeSlider.min.js	(from https://adminlte.io/themes/v3/pages/UI/sliders.html)
17:13:33	32615/32615	---MCZ	200	added ('OK')	text/css	etag:W/%2263358417-7f67%22	https://adminlte.io/themes/v3/plugins/sweetalert2-theme-bootstrap-4/bootstrap-4.min.css	/home/manish//mcdc/adminlte.io/themes/v3/plugins/sweetalert2-theme-bootstrap-4/bootstrap-4.min.css	(from https://adminlte.io/themes/v3/pages/UI/modals.html)
17:13:33	38829/38829	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335819e-97ad%22	https://adminlte.io/themes/v3/plugins/bootstrap-slider/bootstrap-slider.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/bootstrap-slider/bootstrap-slider.min.js	(from https://adminlte.io/themes/v3/pages/UI/sliders.html)
17:13:34	6454/6454	---MCZ	200	added ('OK')	text/css	etag:W/%226335841b-1936%22	https://adminlte.io/themes/v3/plugins/toastr/toastr.min.css	/home/manish//mcdc/adminlte.io/themes/v3/plugins/toastr/toastr.min.css	(from https://adminlte.io/themes/v3/pages/UI/modals.html)
17:13:35	42910/42910	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358416-a79e%22	https://adminlte.io/themes/v3/plugins/sweetalert2/sweetalert2.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/sweetalert2/sweetalert2.min.js	(from https://adminlte.io/themes/v3/pages/UI/modals.html)
17:13:36	5251/5251	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335841c-1483%22	https://adminlte.io/themes/v3/plugins/toastr/toastr.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/toastr/toastr.min.js	(from https://adminlte.io/themes/v3/pages/UI/modals.html)
17:13:37	24260/24260	---MCZ	200	added ('OK')	text/css	etag:W/%2263358416-5ec4%22	https://adminlte.io/themes/v3/plugins/sweetalert2/sweetalert2.min.css	/home/manish//mcdc/adminlte.io/themes/v3/plugins/sweetalert2/sweetalert2.min.css	(from https://adminlte.io/themes/v3/pages/UI/navbar.html)
17:13:37	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20May%202024%2011:43:37%20GMT	https://placehold.it/150x100	/home/manish//mcdc/placehold.it/150x100	(from https://adminlte.io/themes/v3/pages/UI/timeline.html)
17:13:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20May%202024%2011:43:38%20GMT	https://placehold.it/150x100	/home/manish//mcdc/placehold.it/150x100	(from https://adminlte.io/themes/v3/pages/UI/timeline.html)
